"Nome","l0","l1","l2","Genero","ConfId","Posicao"
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/soda/ArcherT02",1
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/focs/PalTW01",1
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/soda/GabowGTW05",2
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/podc/KleinbergPT09",2
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/www/LucierLT12",2
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/stoc/KleinbergPT09",2
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/focs/PalT03",1
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/stoc/Tardos04",0
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/focs/ArcherT01",1
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/kdd/KempeKT03",2
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/soda/LinRT04",2
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/stoc/AnshelevichDTW03",2
